case,draw,strength,passed,failed,gate 1,gate 2,gate 3,gate 4,gate 5,gate 6,gate 7,Sharpe,alpha,costs a year,appraisal ratio,effective trials,DSR,neighbours holding the base,DSR against 10,DSR against 30,DSR against 100
planted 0.5,49,0.013413153777783005,True,0,True,True,True,True,True,True,True,0.71964,0.032934,0.0109,0.60558,1,0.99117,0,0.79157,0.62455,0.44601
planted 0.8,49,0.018388610058729223,True,0,True,True,True,True,True,True,True,0.78905,0.046564,0.011096,0.84168,1,0.99992,0,0.97846,0.93647,0.85772
late slow timing,49,0.0,False,6,True,True,True,True,True,False,False,1.3623,0.21522,0.0033382,0.97496,1,0.99903,0,,,
rotation,49,0.0,False,2,True,False,False,False,False,False,True,0.69293,0.00052144,0.0025203,0.019994,2,0.32667,0,,,
binary rotation,49,0.0,False,2,True,False,False,False,False,False,False,0.65741,-0.0036088,0.0036586,-0.082807,2,0.20293,0,,,
top sector,49,0.0,False,2,True,False,False,False,False,False,True,0.65557,0.0092007,0.0030306,0.095189,2,0.4363,0,,,
near benchmark,49,0.0,False,5,True,True,True,True,False,True,False,0.75217,0.0082998,0.0011047,0.69267,2,0.96485,0,,,
timing,50,0.0,False,2,True,False,False,False,False,False,False,0.41761,-0.019265,0.011034,-0.34972,1,0.056816,0,,,
slow timing,50,0.0,False,6,True,True,True,True,True,False,False,0.74565,0.036541,0.0025356,0.78198,1,0.99943,0,,,
selection,50,0.0,False,4,True,True,True,False,False,True,True,0.60488,0.013303,0.011176,0.24455,10,0.24573,0,,,
slow selection,50,0.0,False,3,True,True,False,False,False,True,True,0.58092,0.0055107,0.0025068,0.1172,10,0.13286,0,,,
planted 0.5,50,0.013413153777783005,True,0,True,True,True,True,True,True,True,0.65482,0.022488,0.011365,0.42438,1,0.96898,0,0.58501,0.3887,0.23006
planted 0.8,50,0.018388610058729223,True,0,True,True,True,True,True,True,True,0.85617,0.05249,0.010943,0.94559,1,0.99996,0,0.9916,0.97126,0.92638
late slow timing,50,0.0,False,2,True,False,False,False,False,False,True,0.33359,-0.044276,0.0028896,-0.21555,1,0.25156,0,,,
rotation,50,0.0,False,2,True,False,False,False,False,False,True,0.69821,0.0014442,0.0026177,0.055761,2,0.37813,0,,,
binary rotation,50,0.0,False,2,True,False,False,False,False,False,True,0.69459,0.0030997,0.0034113,0.071795,2,0.34898,0,,,
top sector,50,0.0,False,1,False,False,False,False,False,False,True,0.15576,-0.086319,0.0025651,-0.84651,1,0.00084999,1,,,
near benchmark,50,0.0,False,2,True,False,False,False,False,True,True,0.65865,-0.0071942,0.0010359,-0.60972,2,0.0024761,0,,,
timing,51,0.0,False,2,True,False,False,False,False,False,True,0.40102,-0.021436,0.011152,-0.40807,1,0.028534,0,,,
slow timing,51,0.0,False,2,True,False,False,False,False,True,False,0.56755,0.003061,0.0022269,0.064479,1,0.61537,0,,,
selection,51,0.0,False,2,True,False,True,False,False,True,True,0.52986,0.00043361,0.011508,0.0078006,10,0.061605,0,,,
slow selection,51,0.0,False,4,True,True,True,False,False,True,False,0.63155,0.013928,0.0024752,0.31818,10,0.30127,0,,,
planted 0.5,51,0.013413153777783005,True,0,True,True,True,True,True,True,True,0.72171,0.033993,0.011459,0.62577,1,0.99711,0,0.87561,0.7444,0.58005
planted 0.8,51,0.018388610058729223,True,0,True,True,True,True,True,True,True,0.71075,0.034603,0.011473,0.5587,1,0.99391,0,0.82132,0.66199,0.48297
late slow timing,51,0.0,False,2,True,False,False,False,False,False,True,0.77987,0.013201,0.0036687,0.06063,1,0.55975,0,,,
rotation,51,0.0,False,2,True,False,False,False,False,False,True,0.68734,-0.00037829,0.0025067,-0.013909,2,0.28228,0,,,
binary rotation,51,0.0,False,2,True,False,False,False,False,False,True,0.60193,-0.01437,0.0031719,-0.34896,2,0.048104,0,,,
top sector,51,0.0,False,2,True,False,False,False,False,False,True,0.46662,-0.026305,0.0029393,-0.19693,1,0.23613,0,,,
near benchmark,51,0.0,False,3,True,True,False,False,False,True,True,0.71357,0.0019825,0.0010969,0.16229,2,0.50182,0,,,
timing,52,0.0,False,2,True,False,False,False,False,False,True,0.4964,-0.0057854,0.011141,-0.10124,1,0.31145,0,,,
slow timing,52,0.0,False,3,True,True,False,True,False,False,True,0.63221,0.014132,0.002117,0.33871,1,0.93108,0,,,
selection,52,0.0,False,2,True,False,False,False,False,False,False,0.53319,0.0014757,0.011474,0.025616,10,0.054406,0,,,
slow selection,52,0.0,False,4,True,True,True,False,False,True,True,0.66638,0.020189,0.0023054,0.50167,10,0.3471,0,,,
planted 0.5,52,0.013413153777783005,True,0,True,True,True,True,True,True,True,0.7913,0.043151,0.011185,0.77449,1,0.99984,0,0.97507,0.92926,0.84625
planted 0.8,52,0.018388610058729223,False,7,True,True,True,True,True,True,False,0.80991,0.051006,0.011438,0.86428,1,0.99997,0,0.9832,0.94761,0.87725
late slow timing,52,0.0,False,2,True,False,False,False,False,False,True,0.59919,-0.0090364,0.0030157,-0.045232,2,0.25559,1,,,
rotation,52,0.0,False,2,True,False,False,False,False,False,True,0.61841,-0.013006,0.0023398,-0.55306,2,0.0060591,0,,,
binary rotation,52,0.0,False,3,True,True,False,False,False,False,True,0.73574,0.010236,0.0038585,0.24769,2,0.51711,0,,,
top sector,52,0.0,False,2,True,False,False,False,False,True,False,0.59135,0.00088079,0.0034048,0.008141,1,0.51033,0,,,
near benchmark,52,0.0,False,2,True,False,False,False,False,True,True,0.67466,-0.0043928,0.0011498,-0.31807,1,0.16912,0,,,
timing,53,0.0,False,2,True,False,False,False,False,False,True,0.40629,-0.02202,0.010673,-0.43878,1,0.030933,0,,,
slow timing,53,0.0,False,2,True,False,False,False,False,False,True,0.5667,0.0037003,0.0023911,0.06816,1,0.61383,0,,,
selection,53,0.0,False,2,True,False,True,False,False,True,True,0.52498,-0.00038339,0.011295,-0.0069247,10,0.054311,0,,,
slow selection,53,0.0,False,3,True,True,False,False,False,False,True,0.57148,0.0026637,0.0022819,0.068548,10,0.099136,0,,,
planted 0.5,53,0.013413153777783005,True,0,True,True,True,True,True,True,True,0.67851,0.029551,0.011578,0.49466,1,0.98837,0,0.69657,0.50634,0.32953
planted 0.8,53,0.018388610058729223,True,0,True,True,True,True,True,True,True,0.88512,0.060142,0.011441,1.1958,1,1,0,0.99941,0.99708,0.98951
late slow timing,53,0.0,False,2,True,False,False,False,False,False,True,0.96632,0.059821,0.0035754,0.31287,1,0.79033,0,,,
rotation,53,0.0,False,2,True,False,False,False,False,False,True,0.61608,-0.013264,0.0022855,-0.49856,2,0.021808,0,,,
binary rotation,53,0.0,False,2,True,False,False,False,False,False,True,0.65212,-0.0044576,0.00323,-0.10197,2,0.13963,0,,,
top sector,53,0.0,False,2,True,False,False,False,False,False,False,0.61455,0.0074311,0.0037626,0.068573,1,0.59549,0,,,
near benchmark,53,0.0,False,2,True,False,False,False,False,True,True,0.68848,-0.0021774,0.0011372,-0.17441,2,0.14576,0,,,
timing,54,0.0,False,2,True,False,True,False,False,False,True,0.55996,0.0057782,0.011815,0.10309,1,0.67963,0,,,
slow timing,54,0.0,False,2,True,False,False,False,False,False,True,0.47238,-0.013859,0.0023724,-0.28803,1,0.12887,0,,,
selection,54,0.0,False,4,True,True,True,False,False,True,True,0.59711,0.012739,0.010642,0.21846,10,0.27633,0,,,
slow selection,54,0.0,False,4,True,True,True,False,False,False,False,0.72078,0.031003,0.0024028,0.67039,10,0.66684,0,,,
planted 0.5,54,0.013413153777783005,True,0,True,True,True,True,True,True,True,0.70042,0.030293,0.011528,0.57724,1,0.99434,0,0.83272,0.68026,0.50531
planted 0.8,54,0.018388610058729223,True,0,True,True,True,True,True,True,True,0.87795,0.058967,0.011021,1.1395,1,1,0,0.99891,0.99495,0.98302
late slow timing,54,0.0,False,5,True,True,True,True,False,False,True,1.0389,0.13411,0.0027211,0.52966,1,0.9254,0,,,
rotation,54,0.0,False,2,True,False,False,False,False,False,True,0.65041,-0.00699,0.0028148,-0.25365,2,0.091031,0,,,
binary rotation,54,0.0,False,2,True,False,False,False,False,False,True,0.58473,-0.017083,0.0039077,-0.39682,2,0.037182,0,,,
top sector,54,0.0,False,2,True,False,False,False,False,True,True,0.59492,0.0012313,0.0042231,0.011679,1,0.51621,0,,,
near benchmark,54,0.0,False,2,True,False,False,False,False,True,True,0.69837,-0.00052612,0.0012312,-0.042155,2,0.25323,0,,,
timing,55,0.0,False,2,True,False,True,False,False,True,False,0.55663,0.0051108,0.01128,0.091974,1,0.64868,0,,,
slow timing,55,0.0,False,3,True,True,False,False,False,False,True,0.57232,0.0038072,0.0024626,0.081032,1,0.64469,0,,,
selection,55,0.0,False,2,True,False,False,False,False,False,True,0.51883,-0.00071855,0.011276,-0.012613,10,0.051543,0,,,
slow selection,55,0.0,False,3,True,True,False,False,False,False,False,0.69151,0.025615,0.0022137,0.56667,10,0.29855,0,,,
planted 0.5,55,0.013413153777783005,False,2,True,False,True,False,False,True,True,0.57834,0.0093583,0.011417,0.16122,1,0.74793,0,0.175,0.075596,0.029091
planted 0.8,55,0.018388610058729223,True,0,True,True,True,True,True,True,True,0.71512,0.034161,0.010926,0.61046,1,0.99438,0,0.78321,0.61433,0.43613
late slow timing,55,0.0,False,2,True,False,False,False,False,False,True,0.30897,-0.10334,0.0034356,-0.52778,1,0.013055,0,,,
rotation,55,0.0,False,2,True,False,False,False,False,False,True,0.69469,0.00082031,0.0021417,0.031552,2,0.33667,0,,,
binary rotation,55,0.0,False,2,True,False,False,False,False,False,True,0.65221,-0.0044789,0.0032285,-0.10116,2,0.18995,0,,,
top sector,55,0.0,False,2,True,False,False,False,False,False,True,0.43955,-0.025658,0.0037494,-0.22835,1,0.23314,0,,,
near benchmark,55,0.0,False,2,True,False,False,False,False,True,True,0.67556,-0.0043666,0.0011347,-0.38566,2,0.027889,0,,,
timing,56,0.0,False,2,True,False,False,False,False,False,True,0.40842,-0.021794,0.011188,-0.38263,1,0.048792,0,,,
slow timing,56,0.0,False,2,True,False,False,False,False,False,True,0.44164,-0.019305,0.0024074,-0.40316,1,0.03758,0,,,
selection,56,0.0,False,2,True,False,True,False,False,True,True,0.57534,0.0084751,0.011096,0.15303,10,0.17274,0,,,
slow selection,56,0.0,False,3,True,True,False,False,False,False,True,0.68338,0.023969,0.0025884,0.52117,10,0.57108,0,,,
planted 0.5,56,0.013413153777783005,True,0,True,True,True,True,True,True,True,0.7123,0.035017,0.011429,0.61447,1,0.99578,0,0.85497,0.71184,0.54029
planted 0.8,56,0.018388610058729223,False,7,True,True,True,True,True,True,False,0.9409,0.07075,0.01135,1.291,1,1,0,0.99963,0.99799,0.99225
late slow timing,56,0.0,False,2,True,False,False,False,False,False,True,0.56919,-0.032652,0.0041445,-0.17156,1,0.30709,0,,,
rotation,56,0.0,False,2,True,False,False,False,False,False,True,0.65512,-0.0062406,0.0019195,-0.24321,2,0.091162,0,,,
binary rotation,56,0.0,False,2,True,False,False,False,False,False,True,0.53944,-0.025987,0.0034863,-0.63512,2,0.0016674,0,,,
top sector,56,0.0,False,2,True,False,False,False,False,False,True,0.57481,-0.0087423,0.0029435,-0.095748,2,0.19613,1,,,
near benchmark,56,0.0,False,2,True,False,False,False,False,True,True,0.64828,-0.0087479,0.0011962,-0.59828,2,0.0040205,0,,,
timing,57,0.0,False,2,True,False,False,False,False,False,True,0.38423,-0.024677,0.011302,-0.4349,1,0.037997,0,,,
slow timing,57,0.0,False,3,True,True,False,False,False,False,True,0.58701,0.0060388,0.0025177,0.14021,1,0.69344,0,,,
selection,57,0.0,False,2,True,False,True,False,False,True,True,0.53805,0.0026671,0.011416,0.046577,10,0.091287,0,,,
slow selection,57,0.0,False,3,True,True,False,False,False,False,True,0.65847,0.020408,0.0025263,0.41088,10,0.40241,0,,,
planted 0.5,57,0.013413153777783005,False,2,True,False,True,False,False,True,True,0.55608,0.0044208,0.010865,0.076492,1,0.62506,0,0.1042,0.039495,0.013427
planted 0.8,57,0.018388610058729223,True,0,True,True,True,True,True,True,True,0.69194,0.029313,0.011123,0.50491,1,0.98404,0,0.57705,0.38123,0.22439
late slow timing,57,0.0,False,2,True,False,False,False,False,False,True,0.86313,0.026852,0.0039956,0.11026,1,0.63707,1,,,
rotation,57,0.0,False,2,True,False,False,False,False,False,True,0.63761,-0.0096719,0.0024611,-0.41051,2,0.036777,0,,,
binary rotation,57,0.0,False,2,True,False,False,False,False,False,True,0.68819,0.0018478,0.0041362,0.043564,2,0.36368,0,,,
top sector,57,0.0,False,2,True,False,False,False,False,False,True,0.28417,-0.06739,0.0042195,-0.54095,2,0.014484,0,,,
near benchmark,57,0.0,False,2,True,False,False,False,False,True,True,0.69292,-0.0014349,0.0011917,-0.11381,2,0.16744,0,,,
timing,58,0.0,False,2,True,False,False,False,False,False,True,0.36777,-0.026561,0.011108,-0.47992,1,0.0060965,0,,,
slow timing,58,0.0,False,2,True,False,False,False,False,False,True,0.44777,-0.019693,0.00253,-0.43722,2,0.012602,0,,,
selection,58,0.0,False,2,True,False,False,False,False,False,True,0.49383,-0.0051561,0.011413,-0.09213,10,0.023702,0,,,
slow selection,58,0.0,False,3,True,True,False,False,False,True,True,0.64082,0.01627,0.002558,0.32882,10,0.39397,0,,,
planted 0.5,58,0.013413153777783005,True,0,True,True,True,True,True,True,True,0.74557,0.03975,0.010905,0.65402,1,0.99955,0,0.95034,0.8738,0.75267
planted 0.8,58,0.018388610058729223,True,0,True,True,True,True,True,True,True,0.79395,0.047078,0.010944,0.83029,1,0.99984,0,0.9591,0.89382,0.78667
late slow timing,58,0.0,False,2,True,False,False,False,False,False,True,0.39251,-0.077916,0.0042741,-0.3905,1,0.09978,0,,,
rotation,58,0.0,False,2,True,False,False,False,False,False,True,0.65678,-0.0057838,0.0023971,-0.21467,2,0.11151,0,,,
binary rotation,58,0.0,False,3,True,True,False,False,False,False,True,0.75129,0.013309,0.0032158,0.30729,2,0.71277,0,,,
top sector,58,0.0,False,2,True,False,False,False,False,False,True,0.45254,-0.02728,0.0045936,-0.25786,2,0.076156,0,,,
near benchmark,58,0.0,False,5,True,True,True,True,False,True,True,0.75968,0.0095744,0.0011305,0.84663,2,0.98883,0,,,
timing,59,0.0,False,2,True,False,False,False,False,False,True,0.38957,-0.024907,0.01092,-0.44991,1,0.023088,0,,,
slow timing,59,0.0,False,2,True,False,False,False,False,False,True,0.45139,-0.020686,0.0023204,-0.41957,2,0.0099827,0,,,
selection,59,0.0,False,2,True,False,True,False,False,True,True,0.57192,0.0082445,0.01127,0.14469,10,0.065133,0,,,
slow selection,59,0.0,False,3,True,True,False,False,False,False,True,0.66722,0.020481,0.0022077,0.48334,10,0.47532,0,,,
planted 0.5,59,0.013413153777783005,True,0,True,True,True,True,True,True,True,0.68423,0.026922,0.011536,0.50029,1,0.98649,0,0.73767,0.55459,0.37446
planted 0.8,59,0.018388610058729223,True,0,True,True,True,True,True,True,True,0.70969,0.03433,0.011461,0.5946,1,0.99812,0,0.79352,0.62605,0.44653
late slow timing,59,0.0,False,3,True,True,False,True,False,False,True,1.1325,0.13484,0.0033663,0.55713,1,0.95428,0,,,
rotation,59,0.0,False,2,True,False,False,False,False,False,False,0.64036,-0.0087059,0.0025999,-0.30818,2,0.06124,0,,,
binary rotation,59,0.0,False,2,True,False,False,False,False,False,True,0.62752,-0.0091529,0.003596,-0.21417,2,0.10291,0,,,
top sector,59,0.0,False,6,True,True,True,True,True,False,True,0.84719,0.049374,0.0040381,0.4731,1,0.94489,0,,,
near benchmark,59,0.0,False,3,True,True,False,False,False,True,True,0.71139,0.0015893,0.0010167,0.13634,2,0.47699,0,,,
timing,60,0.0,False,2,True,False,False,False,False,False,False,0.46233,-0.01221,0.011006,-0.22852,1,0.16381,0,,,
slow timing,60,0.0,False,3,True,True,False,False,False,True,True,0.60661,0.0097827,0.0023411,0.22087,1,0.79498,0,,,
selection,60,0.0,False,2,True,False,False,False,False,False,True,0.54506,0.0038517,0.011072,0.065879,10,0.10008,0,,,
slow selection,60,0.0,False,4,True,True,True,False,False,False,True,0.61349,0.011995,0.0025004,0.24271,10,0.21867,0,,,
planted 0.5,60,0.013413153777783005,True,0,True,True,True,True,True,True,True,0.67093,0.023976,0.011212,0.44261,1,0.96682,0,0.57618,0.38001,0.22317
planted 0.8,60,0.018388610058729223,True,0,True,True,True,True,True,True,True,0.77559,0.042092,0.011123,0.79194,1,0.99978,0,0.96333,0.90232,0.79965
late slow timing,60,0.0,False,2,True,False,False,False,False,False,True,0.45384,-0.068459,0.0032971,-0.25892,1,0.22873,0,,,
rotation,60,0.0,False,2,True,False,False,False,False,False,True,0.67836,-0.0022874,0.0022907,-0.094928,2,0.19518,0,,,
binary rotation,60,0.0,False,2,True,False,False,False,False,False,False,0.68155,0.00091949,0.00312,0.021137,2,0.33122,0,,,
top sector,60,0.0,False,2,True,False,False,False,False,False,True,0.44886,-0.03286,0.0042433,-0.29476,1,0.1683,0,,,
near benchmark,60,0.0,False,2,True,False,False,False,False,True,True,0.68076,-0.0034987,0.0010586,-0.29534,2,0.064294,0,,,
timing,61,0.0,False,2,True,False,False,False,False,False,True,0.3787,-0.025303,0.011029,-0.47063,1,0.01664,0,,,
slow timing,61,0.0,False,2,True,False,False,False,False,False,True,0.56892,0.0026819,0.0022814,0.06214,2,0.3994,0,,,
selection,61,0.0,False,4,True,True,True,False,False,True,True,0.58503,0.010477,0.010807,0.18368,10,0.15143,0,,,
slow selection,61,0.0,False,4,True,True,True,False,False,False,True,0.74502,0.035457,0.0022988,0.69706,10,0.55128,0,,,
planted 0.5,61,0.013413153777783005,True,0,True,True,True,True,True,True,True,0.74561,0.038447,0.011238,0.6964,1,0.99968,0,0.96395,0.90248,0.79814
planted 0.8,61,0.018388610058729223,True,0,True,True,True,True,True,True,True,0.73828,0.038652,0.011849,0.71254,1,0.99972,0,0.96782,0.91183,0.81486
late slow timing,61,0.0,False,2,True,False,False,False,False,False,True,0.52301,-0.055968,0.0038317,-0.33241,1,0.15,0,,,
rotation,61,0.0,False,2,True,False,False,False,False,False,True,0.67235,-0.0029907,0.002426,-0.1076,2,0.19218,0,,,
binary rotation,61,0.0,False,2,True,False,False,False,False,False,True,0.67047,-0.0014237,0.0027281,-0.033286,2,0.26016,0,,,
top sector,61,0.0,False,2,True,False,False,False,False,False,True,0.57715,0.001982,0.0026693,0.015629,1,0.52006,0,,,
near benchmark,61,0.0,False,4,True,True,True,False,False,True,False,0.73562,0.0056788,0.0011423,0.41877,2,0.76432,0,,,
timing,62,0.0,False,2,True,False,False,False,False,False,False,0.43479,-0.016073,0.011234,-0.30239,1,0.081073,0,,,
slow timing,62,0.0,False,3,True,True,False,False,False,True,True,0.58787,0.0058348,0.0022055,0.14493,1,0.7266,0,,,
selection,62,0.0,False,4,True,True,True,False,False,True,False,0.58556,0.010537,0.010924,0.18486,10,0.22392,0,,,
slow selection,62,0.0,False,4,True,True,True,False,False,False,False,0.77403,0.041877,0.0025848,0.83797,10,0.77053,0,,,
planted 0.5,62,0.013413153777783005,False,4,True,True,True,False,False,True,True,0.58402,0.011105,0.011203,0.19584,1,0.80203,0,0.23428,0.1106,0.046451
planted 0.8,62,0.018388610058729223,True,0,True,True,True,True,True,True,True,0.83372,0.054725,0.011102,0.9463,1,0.99998,0,0.99379,0.97729,0.93859
late slow timing,62,0.0,False,2,True,False,False,False,False,False,True,0.75736,0.055182,0.0038244,0.28758,1,0.81129,0,,,
rotation,62,0.0,False,2,True,False,False,False,False,False,True,0.64367,-0.0085898,0.0024366,-0.37107,2,0.033239,0,,,
binary rotation,62,0.0,False,2,True,False,False,False,False,False,True,0.61563,-0.011327,0.0031773,-0.25677,2,0.072015,0,,,
top sector,62,0.0,False,2,True,False,False,False,False,False,False,0.56002,6.0022e-05,0.0039417,0.00052036,2,0.30225,1,,,
near benchmark,62,0.0,False,3,True,True,False,False,False,True,True,0.70712,0.00093696,0.0010724,0.073859,2,0.38626,0,,,
timing,63,0.0,False,2,True,False,True,False,False,False,True,0.48375,-0.0063388,0.010546,-0.11013,1,0.31212,0,,,
slow timing,63,0.0,False,3,True,True,False,False,False,False,True,0.67364,0.023848,0.002714,0.43104,2,0.89086,0,,,
selection,63,0.0,False,2,True,False,True,False,False,False,True,0.54718,0.0045393,0.011583,0.075891,10,0.082502,0,,,
slow selection,63,0.0,False,4,True,True,True,False,False,False,False,0.67864,0.022541,0.0024753,0.48334,10,0.35604,0,,,
planted 0.5,63,0.013413153777783005,False,4,True,True,True,False,False,True,True,0.58135,0.013251,0.011372,0.20469,1,0.83575,0,0.27026,0.13327,0.058384
planted 0.8,63,0.018388610058729223,True,0,True,True,True,True,True,True,True,0.73323,0.036556,0.011226,0.64832,1,0.99733,0,0.88854,0.76504,0.60556
late slow timing,63,0.0,False,2,True,False,False,False,False,False,True,0.70167,-0.033023,0.0038813,-0.16236,1,0.33152,0,,,
rotation,63,0.0,False,2,True,False,False,False,False,False,True,0.67381,-0.0029026,0.0024817,-0.11276,2,0.19109,0,,,
binary rotation,63,0.0,False,2,True,False,False,False,False,False,True,0.56052,-0.021603,0.0035854,-0.49996,2,0.013025,0,,,
top sector,63,0.0,False,2,True,False,False,False,False,False,True,0.60624,0.0047623,0.0038549,0.045031,2,0.36364,1,,,
near benchmark,63,0.0,False,3,True,True,False,False,False,True,True,0.71733,0.0025884,0.0010644,0.22003,2,0.64025,0,,,
timing,64,0.0,False,2,True,False,False,False,False,False,False,0.4782,-0.0089335,0.011152,-0.15258,1,0.22811,0,,,
slow timing,64,0.0,False,2,True,False,False,False,False,False,True,0.51435,-0.0071096,0.0021966,-0.164,1,0.23812,0,,,
selection,64,0.0,False,2,True,False,False,False,False,False,False,0.52841,-0.00030223,0.010971,-0.005658,10,0.054569,0,,,
slow selection,64,0.0,False,3,True,True,False,False,False,False,True,0.64832,0.018821,0.0024262,0.37642,10,0.51142,0,,,
planted 0.5,64,0.013413153777783005,True,0,True,True,True,True,True,True,True,0.64563,0.021116,0.011353,0.37615,1,0.96279,0,0.55262,0.35909,0.20812
planted 0.8,64,0.018388610058729223,True,0,True,True,True,True,True,True,True,0.72035,0.033111,0.011283,0.63709,1,0.99835,0,0.9104,0.80171,0.65306
late slow timing,64,0.0,False,2,True,False,False,False,False,False,True,0.29234,-0.087808,0.0041577,-0.44561,1,0.10249,0,,,
rotation,64,0.0,False,2,True,False,False,False,False,False,True,0.69885,0.0017272,0.0022229,0.062733,2,0.38012,0,,,
binary rotation,64,0.0,False,2,True,False,False,False,False,False,True,0.68867,0.0019632,0.0034433,0.045959,2,0.36127,0,,,
top sector,64,0.0,False,2,True,False,False,False,False,False,True,0.49999,-0.013872,0.0030463,-0.10924,1,0.36361,0,,,
near benchmark,64,0.0,False,2,True,False,False,False,False,True,True,0.70365,0.00033233,0.001115,0.027239,2,0.33997,0,,,
timing,65,0.0,False,2,True,False,False,False,False,False,True,0.38538,-0.023616,0.010959,-0.41424,1,0.040802,0,,,
slow timing,65,0.0,False,2,True,False,False,False,False,False,True,0.47073,-0.014025,0.0025128,-0.29282,1,0.1143,0,,,
selection,65,0.0,False,2,True,False,True,False,False,False,True,0.51864,-0.0012869,0.011691,-0.022554,10,0.047276,0,,,
slow selection,65,0.0,False,4,True,True,True,False,False,False,False,0.73714,0.034805,0.0025227,0.66602,10,0.85761,0,,,
planted 0.5,65,0.013413153777783005,True,0,True,True,True,True,True,True,True,0.68187,0.026122,0.01125,0.49893,1,0.98452,0,0.71625,0.53009,0.35221
planted 0.8,65,0.018388610058729223,True,0,True,True,True,True,True,True,True,0.8317,0.04899,0.010935,0.9409,1,0.99996,0,0.99114,0.9698,0.92303
late slow timing,65,0.0,False,3,True,True,False,True,False,False,True,1.0367,0.089634,0.0035751,0.40857,1,0.90827,0,,,
rotation,65,0.0,False,3,True,True,False,False,False,False,True,0.72467,0.0061106,0.0023697,0.23488,2,0.55567,0,,,
binary rotation,65,0.0,False,2,True,False,False,False,False,False,True,0.67412,-0.00075394,0.0043108,-0.017897,2,0.27995,0,,,
top sector,65,0.0,False,2,True,False,False,False,False,False,True,0.58451,-0.0002669,0.0042167,-0.0024705,1,0.49618,0,,,
near benchmark,65,0.0,False,3,True,True,False,False,False,True,True,0.72319,0.0035792,0.0010613,0.29061,2,0.6405,0,,,
timing,66,0.0,False,2,True,False,False,False,False,False,True,0.47403,-0.0091712,0.010798,-0.17139,1,0.24937,0,,,
slow timing,66,0.0,False,2,True,False,False,False,False,False,True,0.4516,-0.018626,0.0022051,-0.4159,2,0.012744,0,,,
selection,66,0.0,False,2,True,False,True,False,False,True,False,0.57641,0.0092065,0.01107,0.15822,10,0.062538,0,,,
slow selection,66,0.0,False,4,True,True,True,False,False,False,True,0.70434,0.026001,0.002095,0.70639,11,0.63653,0,,,
planted 0.5,66,0.013413153777783005,False,7,True,True,True,True,True,True,False,0.70353,0.033076,0.0114,0.54257,1,0.98012,0,0.65782,0.46156,0.28856
planted 0.8,66,0.018388610058729223,True,0,True,True,True,True,True,True,True,0.78607,0.049652,0.011653,0.89136,1,0.99998,0,0.99519,0.98192,0.94972
late slow timing,66,0.0,False,2,True,False,False,False,False,False,True,0.85647,0.066378,0.0038654,0.25619,1,0.76487,0,,,
rotation,66,0.0,False,2,True,False,False,False,False,False,True,0.6701,-0.0033705,0.0027321,-0.12188,2,0.15502,0,,,
binary rotation,66,0.0,False,3,True,True,False,False,False,False,False,0.71837,0.0069335,0.0035068,0.17187,2,0.54045,0,,,
top sector,66,0.0,False,3,True,True,False,False,False,True,True,0.70645,0.031868,0.0043182,0.26608,1,0.82756,0,,,
near benchmark,66,0.0,False,2,True,False,False,False,False,True,True,0.67008,-0.0052576,0.0010182,-0.40454,2,0.039845,0,,,
timing,67,0.0,False,2,True,False,False,False,False,False,True,0.44251,-0.014939,0.010772,-0.28166,1,0.10101,0,,,
slow timing,67,0.0,False,2,True,False,False,False,False,False,True,0.4246,-0.022739,0.0022421,-0.51672,1,0.023549,0,,,
selection,67,0.0,False,2,True,False,False,False,False,False,True,0.4686,-0.010673,0.011352,-0.19119,10,0.0084442,0,,,
slow selection,67,0.0,False,3,True,True,False,False,False,False,False,0.59833,0.0084515,0.0023229,0.18706,11,0.12308,0,,,
planted 0.5,67,0.013413153777783005,False,7,True,True,True,True,True,True,False,0.72696,0.034004,0.01108,0.59479,1,0.99234,0,0.79661,0.63011,0.45074
planted 0.8,67,0.018388610058729223,False,7,True,True,True,True,True,True,False,0.84007,0.056703,0.011518,1.0273,1,1,0,0.99906,0.99549,0.9844
late slow timing,67,0.0,False,2,True,False,False,False,False,False,True,0.4621,-0.053399,0.0028829,-0.31255,2,0.057976,0,,,
rotation,67,0.0,False,2,True,False,False,False,False,False,True,0.64276,-0.0085918,0.0023044,-0.34251,2,0.033047,0,,,
binary rotation,67,0.0,False,2,True,False,False,False,False,False,True,0.65734,-0.0037116,0.0038578,-0.087545,2,0.19593,0,,,
top sector,67,0.0,False,2,True,False,False,False,False,False,True,0.41984,-0.036948,0.0035757,-0.32476,1,0.13258,0,,,
near benchmark,67,0.0,False,2,True,False,False,False,False,True,True,0.69396,-0.001277,0.0010577,-0.10679,2,0.1826,0,,,
timing,68,0.0,False,2,True,False,False,False,False,False,True,0.45732,-0.012258,0.011052,-0.22923,1,0.13294,0,,,
slow timing,68,0.0,False,2,True,False,False,False,False,False,False,0.56169,0.0023542,0.0023314,0.047846,1,0.57891,0,,,
selection,68,0.0,False,2,True,False,True,False,False,True,False,0.53657,0.0018039,0.011708,0.032601,10,0.0767,0,,,
slow selection,68,0.0,False,3,True,True,False,False,False,False,True,0.61289,0.011273,0.0026214,0.2412,10,0.13327,0,,,
planted 0.5,68,0.013413153777783005,True,0,True,True,True,True,True,True,True,0.72255,0.034902,0.011554,0.62296,1,0.99667,0,0.87288,0.73943,0.57323
