case,draw,strength,passed,failed,gate 1,gate 2,gate 3,gate 4,gate 5,gate 6,gate 7,Sharpe,alpha,costs a year,appraisal ratio,effective trials,DSR,neighbours holding the base,DSR against 10,DSR against 30,DSR against 100
slow selection,157,0.0,False,3,True,True,False,False,False,False,False,0.66797,0.021234,0.0023379,0.44146,10,0.25648,0,,,
planted 0.5,157,0.013413153777783005,False,7,True,True,True,True,True,True,False,0.87173,0.065033,0.011532,1.1063,1,1,0,0.9985,0.99317,0.97759
planted 0.8,157,0.018388610058729223,True,0,True,True,True,True,True,True,True,0.85427,0.055836,0.011392,0.96472,1,0.99998,0,0.9943,0.97843,0.94025
late slow timing,157,0.0,False,2,True,False,False,False,False,False,True,0.92916,0.090982,0.0049476,0.41373,2,0.68557,0,,,
rotation,157,0.0,False,2,True,False,False,False,False,False,True,0.70025,0.0019727,0.0025083,0.071626,2,0.3893,0,,,
binary rotation,157,0.0,False,2,True,False,False,False,False,False,True,0.60145,-0.014334,0.003489,-0.34274,2,0.038035,0,,,
top sector,157,0.0,False,2,True,False,False,False,False,False,True,0.66172,0.019255,0.0028512,0.15997,2,0.51953,1,,,
near benchmark,157,0.0,False,3,True,True,False,False,False,True,False,0.72136,0.0032808,0.0011805,0.27146,2,0.66789,0,,,
timing,158,0.0,False,2,True,False,False,False,False,False,True,0.41231,-0.020633,0.01092,-0.35753,1,0.065408,0,,,
slow timing,158,0.0,False,2,True,False,False,False,False,False,True,0.50639,-0.0082614,0.0025432,-0.17057,1,0.24944,0,,,
selection,158,0.0,False,4,True,True,True,False,False,True,True,0.61503,0.015499,0.011246,0.27659,10,0.26013,0,,,
slow selection,158,0.0,False,3,True,True,False,False,False,False,True,0.57998,0.0047014,0.0025016,0.10954,10,0.099191,0,,,
planted 0.5,158,0.013413153777783005,True,0,True,True,True,True,True,True,True,0.67874,0.024468,0.01112,0.46704,1,0.98262,0,0.70555,0.5171,0.33973
planted 0.8,158,0.018388610058729223,True,0,True,True,True,True,True,True,True,0.88158,0.062791,0.0114,1.0534,1,1,0,0.99824,0.99169,0.97225
late slow timing,158,0.0,False,1,False,False,False,False,False,False,True,0.95623,0.087889,0.0026964,0.35211,1,0.87537,0,,,
rotation,158,0.0,False,2,True,False,False,False,False,False,True,0.61333,-0.013561,0.002424,-0.49544,2,0.01351,0,,,
binary rotation,158,0.0,False,3,True,True,False,False,False,False,True,0.72926,0.0090523,0.003415,0.21981,2,0.60451,0,,,
top sector,158,0.0,False,3,True,True,False,True,False,False,True,0.82035,0.048982,0.0033109,0.4272,1,0.94003,0,,,
near benchmark,158,0.0,False,2,True,False,False,False,False,True,True,0.69439,-0.0012183,0.0011191,-0.1018,2,0.19637,0,,,
timing,159,0.0,False,2,True,False,False,False,False,False,False,0.42848,-0.016941,0.011265,-0.28604,1,0.10156,0,,,
slow timing,159,0.0,False,3,True,True,False,False,False,True,True,0.58417,0.0052654,0.0024431,0.12798,1,0.69645,0,,,
selection,159,0.0,False,2,True,False,True,False,False,True,True,0.56361,0.0063294,0.011576,0.11475,10,0.14428,0,,,
slow selection,159,0.0,False,4,True,True,True,False,False,True,False,0.63062,0.014272,0.0027111,0.31674,10,0.15916,0,,,
planted 0.5,159,0.013413153777783005,True,0,True,True,True,True,True,True,True,0.65612,0.022208,0.010928,0.41295,1,0.96849,0,0.52243,0.32975,0.18511
planted 0.8,159,0.018388610058729223,True,0,True,True,True,True,True,True,True,0.75188,0.04102,0.011279,0.76351,1,0.99919,0,0.90593,0.79388,0.64251
late slow timing,159,0.0,False,3,True,True,False,False,False,False,False,1.0373,0.10014,0.0036532,0.39968,1,0.88438,0,,,
rotation,159,0.0,False,3,True,True,False,False,False,False,True,0.71451,0.0044797,0.0027633,0.16402,2,0.52881,0,,,
binary rotation,159,0.0,False,3,True,True,False,False,False,False,True,0.7775,0.017826,0.0032215,0.43668,2,0.82763,0,,,
top sector,159,0.0,False,2,True,False,False,False,False,False,True,0.46144,-0.028902,0.0035754,-0.29078,1,0.15522,0,,,
near benchmark,159,0.0,False,3,True,True,False,False,False,True,True,0.71138,0.0016134,0.0011996,0.13311,2,0.41492,0,,,
timing,160,0.0,False,2,True,False,False,False,False,False,True,0.4633,-0.010033,0.011051,-0.16627,1,0.2303,0,,,
slow timing,160,0.0,False,2,True,False,False,False,False,False,True,0.48577,-0.012211,0.0020257,-0.2478,1,0.14391,0,,,
selection,160,0.0,False,2,True,False,True,False,False,True,False,0.55735,0.0052183,0.011022,0.094306,10,0.12554,0,,,
slow selection,160,0.0,False,3,True,True,False,False,False,False,True,0.61162,0.0113,0.0022239,0.2395,10,0.18727,0,,,
planted 0.5,160,0.013413153777783005,True,0,True,True,True,True,True,True,True,0.6809,0.0278,0.011377,0.4411,1,0.96202,0,0.5891,0.39527,0.23714
planted 0.8,160,0.018388610058729223,True,0,True,True,True,True,True,True,True,0.7328,0.038356,0.011412,0.67875,1,0.99948,0,0.94186,0.85712,0.72783
late slow timing,160,0.0,False,2,True,False,False,False,False,False,True,0.72322,-0.014308,0.004829,-0.063629,2,0.24536,0,,,
